ds,escenario_neutro,escenario_positivo,escenario_negativo
2023-05-30,1.0615751414560588,1.1146538985288619,1.0084963843832557
2023-05-31,1.0623765125630789,1.115495338191233,1.0092576869349248
2023-06-01,1.0629482445496279,1.1160956567771094,1.0098008323221463
2023-06-02,1.063716410272488,1.1169022307861125,1.0105305897588637
2023-06-05,1.0656257221212577,1.1189070082273207,1.0123444360151947
2023-06-06,1.0661428111732907,1.1194499517319552,1.0128356706146262
2023-06-07,1.0670352399001382,1.1203870018951452,1.0136834779051311
2023-06-08,1.0676158573845207,1.1209966502537467,1.0142350645152947
2023-06-09,1.0683117643802928,1.1217273525993074,1.0148961761612783
2023-06-12,1.0695499015000967,1.1230273965751016,1.0160724064250917
2023-06-13,1.0697094064651416,1.1231948767883988,1.0162239361418843
2023-06-14,1.0701890906380787,1.1236985451699826,1.0166796361061747
2023-06-15,1.0703103259419717,1.1238258422390703,1.0167948096448731
2023-06-16,1.0705094653673495,1.124034938635717,1.016983992098982
2023-06-20,1.0697458609971306,1.1232331540469873,1.016258567947274
2023-06-21,1.0696924704214485,1.123177093942521,1.0162078469003761
2023-06-22,1.0693030855582775,1.1227682398361913,1.0158379312803636
2023-06-23,1.0690229493559256,1.122474096823722,1.0155718018881292
2023-06-26,1.067472663618204,1.1208462967991142,1.0140990304372937
2023-06-27,1.066803838578112,1.1201440305070176,1.0134636466492064
2023-06-28,1.0665299998390745,1.1198564998310283,1.0132034998471207
2023-06-29,1.0659847053587872,1.1192839406267265,1.0126854700908479
2023-06-30,1.0656146429918518,1.1188953751414445,1.012333910842259
2023-07-03,1.0641867189979162,1.1173960549478121,1.0109773830480202
2023-07-05,1.0636288240335834,1.1168102652352625,1.0104473828319043
2023-07-06,1.0633545247786094,1.1165222510175399,1.0101867985396789
2023-07-07,1.063300429499259,1.116465450974222,1.010135408024296
2023-07-10,1.0630243371431638,1.116175554000322,1.0098731202860056
2023-07-11,1.0629481991273624,1.1160956090837306,1.0098007891709941
2023-07-12,1.0633326622150505,1.116499295325803,1.010166029104298
2023-07-13,1.063498968191327,1.1166739166008934,1.0103240197817605
2023-07-14,1.0638809718431717,1.1170750204353304,1.010686923251013
2023-07-17,1.0648211925103854,1.1180622521359047,1.0115801328848661
2023-07-18,1.065100793283266,1.1183558329474292,1.0118457536191026
2023-07-19,1.0658082099392236,1.1190986204361848,1.0125177994422625
2023-07-20,1.0662609960722829,1.1195740458758972,1.0129479462686686
2023-07-21,1.0668900863965867,1.120234590716416,1.0135455820767574
2023-07-24,1.0683177650975728,1.1217336533524516,1.014901876842694
2023-07-25,1.0686732981522908,1.1221069630599054,1.0152396332446763
2023-07-26,1.0694142309551844,1.1228849425029437,1.015943519407425
2023-07-27,1.0698596464945676,1.1233526288192959,1.0163666641698392
2023-07-28,1.0704426056774288,1.1239647359613003,1.0169204753935572
2023-07-31,1.0715280977021557,1.1251045025872635,1.017951692817048
2023-08-01,1.0717132023253924,1.125298862441662,1.0181275422091227
2023-08-02,1.072262016175555,1.1258751169843328,1.018648915366777
2023-08-03,1.0724977751461362,1.126122663903443,1.0188728863888294
2023-08-04,1.0728577540592623,1.1265006417622254,1.0192148663562992
2023-08-07,1.0732358649149956,1.1268976581607455,1.0195740716692456
2023-08-08,1.0731855100945948,1.1268447855993247,1.019526234589865
2023-08-09,1.073505052290062,1.1271803049045652,1.0198297996755588
2023-08-10,1.073520900114357,1.127196945120075,1.0198448551086392
2023-08-11,1.073673149440761,1.127356806912799,1.019989491968723
2023-08-14,1.0735234797360707,1.1271996537228743,1.019847305749267
2023-08-15,1.0733343415204584,1.1270010585964814,1.0196676244444354
2023-08-16,1.0735352601399621,1.1272120231469602,1.019858497132964
2023-08-17,1.0734529480714539,1.1271255954750266,1.0197803006678812
2023-08-18,1.0735273853298284,1.1272037545963198,1.019851016063337
