Fecha,USD_EUR,DXY,Inflacion,Tasa_Fed
2022-04-13,1.0826143026351929,99.87999725341797,288.582,0.33
2022-04-14,1.089656949043274,100.31999969482422,288.582,0.33
2022-04-18,1.081525444984436,100.77999877929688,288.582,0.33
2022-04-19,1.0781787633895874,100.95999908447266,288.582,0.33
2022-04-20,1.0794472694396973,100.38999938964844,288.582,0.33
2022-04-21,1.0849870443344116,100.58000183105469,288.582,0.33
2022-04-22,1.0835175514221191,101.22000122070312,288.582,0.33
2022-04-25,1.0811045169830322,101.75,288.582,0.33
2022-04-26,1.0714209079742432,102.30000305175781,288.582,0.33
2022-04-27,1.0643619298934937,102.94999694824219,288.582,0.33
2022-04-28,1.0555092096328735,103.62000274658203,288.582,0.33
2022-04-29,1.0504201650619507,102.95999908447266,288.582,0.33
2022-05-02,1.0535964965820312,103.73999786376953,291.299,0.77
2022-05-03,1.0509058237075806,103.47000122070312,291.299,0.77
2022-05-04,1.0528532266616821,102.58999633789062,291.299,0.77
2022-05-05,1.0622477531433105,103.75,291.299,0.77
2022-05-06,1.0539740324020386,103.66000366210938,291.299,0.77
2022-05-09,1.053219199180603,103.6500015258789,291.299,0.77
2022-05-10,1.056579828262329,103.91999816894531,291.299,0.77
2022-05-11,1.0532968044281006,103.8499984741211,291.299,0.77
2022-05-12,1.05124831199646,104.8499984741211,291.299,0.77
2022-05-13,1.0379581451416016,104.55999755859375,291.299,0.77
2022-05-16,1.0400632619857788,104.19000244140625,291.299,0.77
2022-05-17,1.0438958406448364,103.36000061035156,291.299,0.77
2022-05-18,1.0547856092453003,103.80999755859375,291.299,0.77
2022-05-19,1.0472739934921265,102.72000122070312,291.299,0.77
2022-05-20,1.057898759841919,103.1500015258789,291.299,0.77
2022-05-23,1.0569819211959839,102.08000183105469,291.299,0.77
2022-05-24,1.0682048797607422,101.86000061035156,291.299,0.77
2022-05-25,1.0736525058746338,102.05999755859375,291.299,0.77
2022-05-26,1.0686614513397217,101.83000183105469,291.299,0.77
2022-05-27,1.0732953548431396,101.66999816894531,291.299,0.77
2022-05-31,1.0773539543151855,101.75,291.299,0.77
2022-06-01,1.0734105110168457,102.55000305175781,295.072,1.21
2022-06-02,1.0654165744781494,101.7699966430664,295.072,1.21
2022-06-03,1.0751069784164429,102.13999938964844,295.072,1.21
2022-06-06,1.0726046562194824,102.44000244140625,295.072,1.21
2022-06-07,1.0691413879394531,102.31999969482422,295.072,1.21
2022-06-08,1.0698620080947876,102.54000091552734,295.072,1.21
2022-06-09,1.071765422821045,103.22000122070312,295.072,1.21
2022-06-10,1.0619205236434937,104.1500015258789,295.072,1.21
2022-06-13,1.0489987134933472,105.08000183105469,295.072,1.21
2022-06-14,1.0415147542953491,105.5199966430664,295.072,1.21
2022-06-15,1.0440592765808105,105.16000366210938,295.072,1.21
2022-06-16,1.0456204414367676,103.62999725341797,295.072,1.21
2022-06-17,1.0546854734420776,104.69999694824219,295.072,1.21
2022-06-21,1.0520778894424438,104.44000244140625,295.072,1.21
2022-06-22,1.053263545036316,104.19999694824219,295.072,1.21
2022-06-23,1.0564124584197998,104.43000030517578,295.072,1.21
2022-06-24,1.052011489868164,104.19000244140625,295.072,1.21
2022-06-27,1.0566133260726929,103.94000244140625,295.072,1.21
2022-06-28,1.0580891370773315,104.51000213623047,295.072,1.21
2022-06-29,1.0523545742034912,105.11000061035156,295.072,1.21
2022-06-30,1.04465913772583,104.69000244140625,295.072,1.21
2022-07-01,1.0477677583694458,105.13999938964844,294.94,1.68
2022-07-05,1.0433186292648315,106.5,294.94,1.68
2022-07-06,1.0257673263549805,107.0999984741211,294.94,1.68
2022-07-07,1.0186411142349243,107.12999725341797,294.94,1.68
2022-07-08,1.0169836282730103,107.01000213623047,294.94,1.68
2022-07-11,1.0166114568710327,108.0199966430664,294.94,1.68
2022-07-12,1.004752516746521,108.06999969482422,294.94,1.68
2022-07-13,1.0033109188079834,107.95999908447266,294.94,1.68
2022-07-14,1.0032706260681152,108.54000091552734,294.94,1.68
2022-07-15,1.0025665760040283,108.05999755859375,294.94,1.68
2022-07-18,1.009631872177124,107.37000274658203,294.94,1.68
2022-07-19,1.0145177841186523,106.68000030517578,294.94,1.68
2022-07-20,1.0231330394744873,107.08000183105469,294.94,1.68
